id;index;discipline;language;area;skill_code;skill_label;param_a;param_b;param_c;anulado;motivo_anulacao;gabarito_confere_api;observacao
17488;1;linguagens;espanhol;LC;H6;Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.;1.12528;0.36546;0.2073;0;;0;"API tem bug conhecido: correctAlternative da vaga 'espanhol' replica o da 'ingles' nesta posicao; skill/param_b aqui SAO os reais do item espanhol (TP_LINGUA=1)"
17489;1;linguagens;ingles;LC;H7;Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.;3.7284;0.3723;0.1705;0;;1;
17581;2;linguagens;espanhol;LC;H8;Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística.;1.8208;1.32304;0.19745;0;;0;"API tem bug conhecido: correctAlternative da vaga 'espanhol' replica o da 'ingles' nesta posicao; skill/param_b aqui SAO os reais do item espanhol (TP_LINGUA=1)"
17582;2;linguagens;ingles;LC;H7;Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.;2.94472;0.59928;0.24615;0;;1;
17593;3;linguagens;espanhol;LC;H7;Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.;2.7718;0.94236;0.20053;0;;1;
17594;3;linguagens;ingles;LC;H6;Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.;2.38626;0.67668;0.18733;0;;1;
17605;4;linguagens;espanhol;LC;H8;Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística.;2.90355;1.66292;0.12537;0;;0;"API tem bug conhecido: correctAlternative da vaga 'espanhol' replica o da 'ingles' nesta posicao; skill/param_b aqui SAO os reais do item espanhol (TP_LINGUA=1)"
17606;4;linguagens;ingles;LC;H5;Associar vocábulos e expressões de um texto em LEM ao seu tema.;4.90205;0.71195;0.17497;0;;1;
17617;5;linguagens;espanhol;LC;H5;Associar vocábulos e expressões de um texto em LEM ao seu tema.;2.32932;0.44342;0.201;0;;0;"API tem bug conhecido: correctAlternative da vaga 'espanhol' replica o da 'ingles' nesta posicao; skill/param_b aqui SAO os reais do item espanhol (TP_LINGUA=1)"
17618;5;linguagens;ingles;LC;H6;Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.;2.28024;0.18554;0.19951;0;;1;
17629;6;linguagens;;LC;H4;Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação.;2.91253;0.48859;0.10089;0;;1;
17640;7;linguagens;;LC;H1;Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação.;2.05162;0.89837;0.20823;0;;1;
17651;8;linguagens;;LC;H29;Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação.;1.74082;1.23944;0.11882;0;;1;
17662;9;linguagens;;LC;H30;Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem.;3.44333;1.03742;0.13709;0;;1;
17490;10;linguagens;;LC;H22;Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos.;3.6719;1.0849;0.13842;0;;1;
17501;11;linguagens;;LC;H15;Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político.;1.17106;0.92453;0.04846;0;;1;
17512;12;linguagens;;LC;H11;Reconhecer a linguagem corporal como meio de interação social, considerando os limites de desempenho e as alternativas de adaptação para diferentes indivíduos.;2.29926;0.1859;0.18515;0;;1;
17523;13;linguagens;;LC;H27;Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação.;4.6087;0.80546;0.10579;0;;1;
17534;14;linguagens;;LC;H21;Reconhecer em textos de diferentes gêneros, recursos verbais e não-verbais utilizados com a finalidade de criar e mudar comportamentos e hábitos.;1.03891;0.31916;0.00705;0;;1;
17545;15;linguagens;;LC;H13;Analisar as diversas produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos.;2.03689;0.74331;0.21068;0;;1;
17556;16;linguagens;;LC;H15;Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político.;1.64072;0.95986;0.19106;0;;1;
17567;17;linguagens;;LC;H18;Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.;1.56827;1.94895;0.23722;0;;1;
17578;18;linguagens;;LC;H9;Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.;2.44218;-0.02849;0.19639;0;;1;
17580;19;linguagens;;LC;H10;Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas.;1.82096;-0.29844;0.19586;0;;1;
17583;20;linguagens;;LC;H20;Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.;2.21653;0.6224;0.19711;0;;1;
