area,posicao,co_posicao_abs,co_item,habilidade_cod,habilidade_desc,gabarito,n_valido,pct_acerto,distrator_campeao,pct_campeao_entre_errados,pct_campeao_da_base,lift_vs_uniforme,param_a,param_b,param_c,dif_tri,lingua
CH,1,46,141102,CHH7,Identificar os significados histórico-geográficos das relações de poder entre as nações,E,838235,35.6,B,48.2,31.0,1.93,2.30036,1.00184,0.16439,600.2,
CH,2,47,125735,CHH29,"Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas.",D,837936,37.2,A,51.7,32.5,2.07,1.93462,0.98037,0.16564,598.0,
CH,3,48,87509,CHH2,Analisar a produção da memória pelas sociedades humanas.,E,834119,25.1,A,32.1,24.0,1.28,3.63787,1.15279,0.14648,615.3,
CH,4,49,112144,CHH18,Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais.,C,837429,46.6,D,44.7,23.9,1.79,1.84717,0.93959,0.21042,594.0,
CH,5,50,111883,CHH12,Analisar o papel da justiça como instituição na organização das sociedades.,A,836391,25.7,D,43.8,32.6,1.75,4.66484,2.18392,0.24931,718.4,
CH,6,51,111927,CHH20,Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho.,D,837140,50.4,E,36.6,18.2,1.47,2.71693,0.48298,0.15872,548.3,
CH,7,52,111982,CHH21,Identificar o papel dos meios de comunicação na construção da vida social.,C,837092,26.4,A,46.2,34.0,1.85,2.105,1.30323,0.13227,630.3,
CH,8,53,149742,CHH4,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.,E,836580,31.7,B,33.7,23.0,1.35,2.12991,1.01053,0.1851,601.1,
CH,9,54,140428,CHH8,Analisar a ação dos estados nacionais no que se refere à dinâmica dos fluxos populacionais e no enfrentamento de problemas de ordem econômico-social.,E,836400,50.9,A,35.9,17.6,1.44,2.89147,0.38165,0.19431,538.2,
CH,10,55,95807,CHH16,Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social.,D,835179,32.5,B,40.6,27.4,1.62,2.64665,1.19196,0.1989,619.2,
CH,11,56,149784,CHH27,"Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos.",C,836835,56.8,D,29.9,12.9,1.2,3.39468,0.43866,0.21726,543.9,
CH,12,57,140583,CHH26,Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.,A,835712,57.8,E,31.1,13.1,1.24,1.45157,0.32702,0.25689,532.7,
